process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
attention,map,fev,digit_f,Women,935," .07( .02), $p$<.01 **",0.066,0.024,0.005," .00( .00), $p$=.98  ",0,0.001,0.982," .00( .01), $p$=.46  ",0.004,0.006,0.464
attention,map,fev,digit_f,Men,321," .06( .06), $p$=.27  ",0.06,0.055,0.273," .00( .00), $p$=.78  ",0.001,0.003,0.777,"-.01( .01), $p$=.56  ",-0.007,0.011,0.561
attention,map,fev100,digit_f,Women,935,"6.62(2.34), $p$<.01 **",6.62,2.34,0.005," .00( .10), $p$=.98  ",0.002,0.099,0.985," .41( .53), $p$=.45  ",0.406,0.533,0.446
attention,map,fev100,digit_f,Men,321,"5.99(5.31), $p$=.26  ",5.992,5.312,0.259," .09( .20), $p$=.65  ",0.092,0.2,0.647,"-.65(1.11), $p$=.56  ",-0.653,1.108,0.556
attention,octo,pef,digit_f,Women,276,"-.03(5.00), $p$=.99  ",-0.027,5.002,0.996,"-.12( .11), $p$=.28  ",-0.122,0.114,0.284," .46(1.85), $p$=.80  ",0.458,1.852,0.805
attention,octo,pef,digit_f,Men,138,"-7.21(11.26), $p$=.52  ",-7.211,11.258,0.522," .36( .19), $p$=.06 .",0.359,0.189,0.058," .45(2.57), $p$=.86  ",0.449,2.567,0.861
attention,satsa,fev,digit_f,Women,409," .02( .02), $p$=.37  ",0.021,0.024,0.37," .00( .00), $p$=.92  ",0,0,0.922," .02( .01), $p$=.01 **",0.02,0.008,0.01
attention,satsa,fev,digit_f,Men,299," .07( .04), $p$=.12  ",0.068,0.044,0.12," .00( .00), $p$=.75  ",0,0,0.749," .01( .01), $p$=.36  ",0.013,0.014,0.36
attention,hrs,pef,serial7,Women,4608,"9.13(1.94), $p$<.01 ***",9.133,1.939,0," .16( .05), $p$<.01 **",0.157,0.05,0.002,"-1.11( .92), $p$=.22  ",-1.113,0.917,0.225
attention,hrs,pef,serial7,Men,3287,"13.68(3.34), $p$<.01 ***",13.679,3.342,0," .15( .09), $p$=.10 .",0.149,0.09,0.096,"2.17(1.87), $p$=.25  ",2.172,1.872,0.246
episodic memory,map,fev,bstory_de,Women,935," .01( .02), $p$=.74  ",0.008,0.023,0.738," .00( .00), $p$=.97  ",0,0.002,0.969,"-.01( .01), $p$=.17  ",-0.009,0.006,0.172
episodic memory,map,fev,bstory_de,Men,321," .08( .07), $p$=.22  ",0.085,0.07,0.224," .00( .00), $p$=.59  ",0.002,0.004,0.593,"-.01( .02), $p$=.66  ",-0.007,0.016,0.659
episodic memory,map,fev100,bstory_de,Women,935," .75(2.23), $p$=.74  ",0.754,2.234,0.736,"-.01( .14), $p$=.96  ",-0.007,0.141,0.962,"-.86( .61), $p$=.16  ",-0.864,0.612,0.158
episodic memory,map,fev100,bstory_de,Men,321,"8.48(6.74), $p$=.21  ",8.476,6.743,0.209," .23( .35), $p$=.50  ",0.235,0.348,0.5,"-.72(1.60), $p$=.65  ",-0.724,1.602,0.651
episodic memory,map,fev,logic_de,Women,935," .05( .05), $p$=.31  ",0.051,0.051,0.313,"-.00( .00), $p$=.14  ",-0.004,0.003,0.145," .00( .01), $p$=.78  ",0.003,0.011,0.785
episodic memory,map,fev,logic_de,Men,321," .23( .12), $p$=.05 *",0.23,0.117,0.05," .00( .01), $p$=.90  ",0.001,0.007,0.9,"-.01( .02), $p$=.76  ",-0.007,0.023,0.761
episodic memory,map,fev100,logic_de,Women,935,"5.13(5.01), $p$=.30  ",5.135,5.009,0.305,"-.43( .23), $p$=.06 .",-0.431,0.23,0.061," .30(1.03), $p$=.77  ",0.3,1.029,0.771
episodic memory,map,fev100,logic_de,Men,321,"22.98(11.66), $p$=.05 *",22.985,11.664,0.049," .08( .58), $p$=.89  ",0.083,0.582,0.886,"-.69(2.23), $p$=.76  ",-0.689,2.234,0.758
episodic memory,eas,pef,logic_tot,Women,324,"35.38(61.57), $p$=.57  ",35.382,61.572,0.566,"2.85(4.29), $p$=.51  ",2.846,4.295,0.508,"-7.57(15.76), $p$=.63  ",-7.57,15.763,0.631
episodic memory,eas,pef,logic_tot,Men,324,"35.38(61.57), $p$=.57  ",35.382,61.572,0.566,"2.85(4.29), $p$=.51  ",2.846,4.295,0.508,"-7.57(15.76), $p$=.63  ",-7.57,15.763,0.631
episodic memory,octo,pef,mir,Women,271,"13.19(10.49), $p$=.21  ",13.189,10.487,0.209," .27( .42), $p$=.53  ",0.268,0.424,0.527,"3.53(3.78), $p$=.35  ",3.527,3.781,0.351
episodic memory,octo,pef,mir,Men,137,"76.75(20.62), $p$<.01 ***",76.752,20.623,0," .84( .44), $p$=.06 .",0.842,0.44,0.056,"-1.34(6.98), $p$=.85  ",-1.342,6.983,0.848
episodic memory,octo,pef,mir_recog,Women,271,"2.85(2.73), $p$=.30  ",2.847,2.728,0.297," .26( .28), $p$=.36  ",0.261,0.283,0.357,"3.84(1.89), $p$=.04 *",3.837,1.888,0.042
episodic memory,octo,pef,mir_recog,Men,137,"40.64(25.66), $p$=.11  ",40.643,25.663,0.113," .22( .58), $p$=.70  ",0.224,0.58,0.699,"2.71(3.72), $p$=.47  ",2.714,3.719,0.466
episodic memory,elsa,fev100,word_de,Women,3228,"2.57(1.83), $p$=.16  ",2.566,1.832,0.161,"-.01( .03), $p$=.80  ",-0.008,0.03,0.799," .41(1.20), $p$=.73  ",0.41,1.196,0.732
episodic memory,elsa,fev100,word_de,Men,2904,"3.57(2.66), $p$=.18  ",3.568,2.657,0.179,"-.02( .03), $p$=.54  ",-0.02,0.033,0.542,"1.41(1.42), $p$=.32  ",1.408,1.423,0.323
episodic memory,elsa,fev,word_de,Women,3511," .02( .02), $p$=.25  ",0.021,0.018,0.248," .00( .00), $p$=.63  ",0,0,0.626," .01( .01), $p$=.57  ",0.007,0.012,0.566
episodic memory,elsa,fev,word_de,Men,3091," .04( .03), $p$=.16  ",0.038,0.027,0.162," .00( .00), $p$=.54  ",0,0,0.536," .02( .01), $p$=.27  ",0.016,0.015,0.267
episodic memory,hrs,pef,word_de,Women,4611,"22.08(2.27), $p$<.01 ***",22.079,2.266,0," .10( .05), $p$=.04 *",0.102,0.051,0.045,"2.00(1.03), $p$=.05 .",2.003,1.029,0.052
episodic memory,hrs,pef,word_de,Men,3288,"30.33(3.72), $p$<.01 ***",30.33,3.718,0," .15( .08), $p$=.07 .",0.152,0.085,0.074,"1.95(1.80), $p$=.28  ",1.953,1.802,0.278
episodic memory,map,fev,word_de,Women,935," .02( .02), $p$=.41  ",0.02,0.025,0.415,"-.00( .00), $p$=.29  ",-0.001,0.001,0.291," .00( .01), $p$=.53  ",0.003,0.006,0.534
episodic memory,map,fev,word_de,Men,321," .08( .07), $p$=.25  ",0.076,0.067,0.254," .00( .00), $p$=.43  ",0.003,0.004,0.426," .00( .01), $p$=.92  ",0.001,0.013,0.918
episodic memory,map,fev100,word_de,Women,935,"2.02(2.45), $p$=.41  ",2.024,2.446,0.408,"-.14( .09), $p$=.12  ",-0.145,0.093,0.121," .35( .51), $p$=.49  ",0.349,0.51,0.494
episodic memory,map,fev100,word_de,Men,321,"7.64(6.47), $p$=.24  ",7.644,6.47,0.237," .32( .25), $p$=.20  ",0.318,0.25,0.204," .13(1.24), $p$=.92  ",0.132,1.244,0.915
episodic memory,nas,fev,word_de,Men,1131," .57( .32), $p$=.07 .",0.569,0.318,0.073,"-.00( .00), $p$=.77  ",-0.001,0.002,0.771," .04( .05), $p$=.50  ",0.036,0.054,0.505
episodic memory,map,fev,word_rec,Women,935," .00( .01), $p$=.68  ",0.004,0.01,0.68," .00( .00), $p$=.95  ",0,0.001,0.948," .00( .00), $p$=.89  ",0,0.003,0.893
episodic memory,map,fev,word_rec,Men,321," .00( .04), $p$=.93  ",0.003,0.037,0.93,"-.00( .00), $p$=.22  ",-0.003,0.003,0.216," .01( .01), $p$=.19  ",0.009,0.007,0.19
episodic memory,map,fev100,word_rec,Women,935," .41( .98), $p$=.68  ",0.409,0.98,0.676," .00( .04), $p$=.92  ",0.004,0.039,0.92," .03( .24), $p$=.89  ",0.034,0.242,0.888
episodic memory,map,fev100,word_rec,Men,321," .33(3.75), $p$=.93  ",0.326,3.745,0.931,"-.31( .22), $p$=.15  ",-0.313,0.22,0.154," .94( .68), $p$=.16  ",0.943,0.676,0.163
executive function,eas,pef,trailsb,Women,545,"-402.35(273.61), $p$=.14  ",-402.353,273.613,0.141,"9.47(19.46), $p$=.63  ",9.474,19.464,0.626,"-24.99(71.97), $p$=.73  ",-24.991,71.967,0.728
executive function,eas,pef,trailsb,Men,324,"-2188.20(674.13), $p$<.01 ***",-2188.197,674.134,0.001,"-81.33(52.55), $p$=.12  ",-81.335,52.55,0.122,"3.96(160.21), $p$=.98  ",3.961,160.213,0.98
fluency,nas,fev,animals,Men,1131,"-.92( .82), $p$=.26  ",-0.917,0.821,0.264,"-.00( .00), $p$=.87  ",-0.001,0.005,0.874," .15( .14), $p$=.29  ",0.152,0.145,0.295
fluency,eas,pef,categories,Women,545,"113.06(39.02), $p$<.01 **",113.064,39.023,0.004,"2.35(2.45), $p$=.34  ",2.354,2.453,0.337,"-15.48(9.68), $p$=.11  ",-15.482,9.684,0.11
fluency,eas,pef,categories,Men,324,"54.30(88.35), $p$=.54  ",54.305,88.353,0.539,"5.08(4.99), $p$=.31  ",5.078,4.99,0.309,"6.40(16.74), $p$=.70  ",6.401,16.738,0.702
fluency,map,fev,categories,Women,935," .52( .10), $p$<.01 ***",0.525,0.099,0,"-.00( .00), $p$=.37  ",-0.005,0.005,0.369,"-.03( .02), $p$=.10  ",-0.031,0.019,0.101
fluency,map,fev,categories,Men,321," .62( .29), $p$=.03 *",0.617,0.286,0.031," .00( .01), $p$=.75  ",0.004,0.013,0.747,"-.01( .05), $p$=.76  ",-0.014,0.048,0.763
fluency,map,fev100,categories,Women,935,"52.45(9.87), $p$<.01 ***",52.454,9.871,0,"-.49( .48), $p$=.31  ",-0.487,0.484,0.314,"-3.08(1.85), $p$=.10 .",-3.077,1.849,0.096
fluency,map,fev100,categories,Men,321,"61.72(28.43), $p$=.03 *",61.721,28.426,0.03," .42(1.09), $p$=.70  ",0.425,1.087,0.696,"-1.44(4.60), $p$=.75  ",-1.44,4.596,0.754
fluency,eas,pef,fas,Women,545,"130.95(58.97), $p$=.03 *",130.951,58.969,0.026," .96(3.50), $p$=.78  ",0.959,3.502,0.784,"5.01(10.59), $p$=.64  ",5.007,10.593,0.636
fluency,eas,pef,fas,Men,324,"145.88(108.60), $p$=.18  ",145.877,108.598,0.179,"-2.03(6.53), $p$=.76  ",-2.032,6.527,0.756,"5.89(22.57), $p$=.79  ",5.891,22.567,0.794
fluid reasoning,satsa,fev,analogies,Women,407," .20( .07), $p$=.01 **",0.198,0.074,0.007," .00( .00), $p$=.36  ",0,0,0.362," .01( .02), $p$=.65  ",0.01,0.023,0.649
fluid reasoning,satsa,fev,analogies,Men,299," .15( .14), $p$=.29  ",0.148,0.141,0.292," .00( .00), $p$=.94  ",0,0.001,0.945," .04( .04), $p$=.26  ",0.043,0.038,0.255
fluid reasoning,eas,pef,block,Women,545,"111.36(44.87), $p$=.01 *",111.357,44.873,0.013,"2.73(3.26), $p$=.40  ",2.726,3.264,0.404,"-2.02(8.64), $p$=.81  ",-2.019,8.638,0.815
fluid reasoning,eas,pef,block,Men,324,"233.41(84.93), $p$=.01 **",233.41,84.928,0.006,"5.16(5.36), $p$=.34  ",5.16,5.359,0.336,"-32.02(19.98), $p$=.11  ",-32.02,19.982,0.109
fluid reasoning,octo,pef,block,Women,272,"86.13(33.62), $p$=.01 **",86.133,33.616,0.01," .05( .63), $p$=.94  ",0.046,0.628,0.942,"22.80(9.33), $p$=.01 *",22.796,9.334,0.015
fluid reasoning,octo,pef,block,Men,136,"158.68(61.01), $p$=.01 **",158.683,61.005,0.009,"1.05( .82), $p$=.20  ",1.051,0.824,0.202,"19.93(11.46), $p$=.08 .",19.93,11.46,0.082
fluid reasoning,satsa,fev,block,Women,408," .41( .15), $p$=.01 **",0.415,0.153,0.007," .00( .00), $p$=.44  ",0,0.001,0.436," .06( .03), $p$=.09 .",0.058,0.034,0.091
fluid reasoning,satsa,fev,block,Men,299," .62( .25), $p$=.01 *",0.62,0.25,0.013," .00( .00), $p$=.49  ",0.001,0.001,0.493," .01( .05), $p$=.89  ",0.007,0.053,0.892
fluid reasoning,nas,fev,fig_copy,Men,1131,"3.30( .99), $p$<.01 ***",3.297,0.991,0.001," .01( .01), $p$=.11  ",0.01,0.006,0.109,"-.60( .20), $p$<.01 **",-0.597,0.196,0.002
fluid reasoning,octo,pef,fig_logic,Women,268,"36.04(22.44), $p$=.11  ",36.044,22.439,0.108," .29( .69), $p$=.68  ",0.286,0.687,0.677,"1.95(7.96), $p$=.81  ",1.952,7.961,0.806
fluid reasoning,octo,pef,fig_logic,Men,133,"67.17(33.87), $p$=.05 *",67.166,33.869,0.047,"1.08( .60), $p$=.07 .",1.08,0.597,0.07,"2.25(13.70), $p$=.87  ",2.252,13.703,0.869
fluid reasoning,lasa,pef,raven_color_ab,Women,782,"43.20(8.05), $p$<.01 ***",43.197,8.05,0,"-.01( .04), $p$=.76  ",-0.011,0.036,0.763," .53(2.73), $p$=.85  ",0.527,2.733,0.847
fluid reasoning,lasa,pef,raven_color_ab,Men,800,"44.79(11.81), $p$<.01 ***",44.793,11.811,0," .19( .06), $p$<.01 **",0.188,0.064,0.003,"3.44(2.98), $p$=.25  ",3.44,2.98,0.248
fluid reasoning,map,fev,raven_standard,Women,920," .10( .03), $p$<.01 ***",0.103,0.029,0," .00( .00), $p$=.28  ",0.002,0.002,0.281,"-.01( .01), $p$=.08 .",-0.013,0.007,0.08
fluid reasoning,map,fev,raven_standard,Men,308," .07( .07), $p$=.28  ",0.075,0.069,0.279," .00( .00), $p$=.45  ",0.003,0.005,0.448,"-.01( .02), $p$=.70  ",-0.006,0.016,0.698
fluid reasoning,map,fev100,raven_standard,Women,920,"10.28(2.83), $p$<.01 ***",10.28,2.828,0," .21( .14), $p$=.14  ",0.21,0.141,0.136,"-1.28( .70), $p$=.07 .",-1.283,0.702,0.068
fluid reasoning,map,fev100,raven_standard,Men,308,"7.48(6.80), $p$=.27  ",7.483,6.799,0.271," .34( .31), $p$=.27  ",0.344,0.314,0.272,"-.62(1.51), $p$=.68  ",-0.619,1.507,0.681
fluid reasoning,satsa,fev,rotate,Women,407,"1.13( .35), $p$<.01 ***",1.129,0.348,0.001," .00( .00), $p$=.99  ",0,0.002,0.986," .02( .10), $p$=.81  ",0.023,0.096,0.807
fluid reasoning,satsa,fev,rotate,Men,298,"1.50( .69), $p$=.03 *",1.496,0.691,0.031," .00( .00), $p$=.73  ",0.001,0.003,0.726," .06( .15), $p$=.69  ",0.059,0.15,0.695
mental status,octo,pef,clock,Women,275,"21.65(11.29), $p$=.06 .",21.648,11.287,0.055," .21( .59), $p$=.72  ",0.209,0.586,0.722,"6.30(6.30), $p$=.32  ",6.304,6.299,0.317
mental status,octo,pef,clock,Men,138,"31.30(18.79), $p$=.10 .",31.296,18.787,0.096,"-.17( .56), $p$=.76  ",-0.166,0.555,0.765,"3.87(10.84), $p$=.72  ",3.874,10.843,0.721
mental status,eas,pef,mmse,Women,545,"11.91(7.20), $p$=.10 .",11.91,7.195,0.098," .06( .54), $p$=.92  ",0.055,0.54,0.918,"-.36(1.57), $p$=.82  ",-0.36,1.575,0.819
mental status,eas,pef,mmse,Men,324,"25.56(13.13), $p$=.05 .",25.556,13.129,0.052," .96( .97), $p$=.32  ",0.959,0.974,0.324,"-2.22(2.75), $p$=.42  ",-2.222,2.745,0.418
mental status,map,fev,mmse,Women,935," .01( .02), $p$=.71  ",0.007,0.018,0.71,"-.00( .00), $p$=.69  ",-0.001,0.002,0.688," .01( .00), $p$=.07 .",0.009,0.005,0.072
mental status,map,fev,mmse,Men,321," .03( .06), $p$=.63  ",0.03,0.063,0.633,"-.00( .01), $p$=.44  ",-0.005,0.006,0.436," .00( .01), $p$=.72  ",0.005,0.015,0.718
mental status,map,fev100,mmse,Women,935," .68(1.82), $p$=.71  ",0.68,1.816,0.708,"-.06( .14), $p$=.65  ",-0.063,0.136,0.646," .87( .47), $p$=.07 .",0.872,0.475,0.066
mental status,map,fev100,mmse,Men,321,"3.01(6.31), $p$=.63  ",3.006,6.312,0.634,"-.49( .47), $p$=.31  ",-0.486,0.474,0.306," .53(1.40), $p$=.70  ",0.528,1.395,0.705
mental status,nas,fev,mmse,Men,1131," .81( .29), $p$<.01 **",0.815,0.292,0.005,"-.00( .00), $p$=.61  ",-0.001,0.002,0.606,"-.05( .06), $p$=.44  ",-0.047,0.061,0.441
mental status,octo,pef,mmse,Women,276,"9.72(12.23), $p$=.43  ",9.725,12.23,0.427," .57( .87), $p$=.51  ",0.568,0.871,0.514,"19.74(7.54), $p$=.01 **",19.744,7.545,0.009
mental status,octo,pef,mmse,Men,140,"102.71(31.38), $p$<.01 ***",102.713,31.38,0.001," .29( .73), $p$=.69  ",0.292,0.734,0.691,"22.58(24.55), $p$=.36  ",22.579,24.547,0.358
mental status,satsa,fev,mmse,Women,411,"-.02( .05), $p$=.72  ",-0.017,0.047,0.716," .00( .00), $p$=.10 .",0.001,0.001,0.098," .06( .02), $p$<.01 **",0.061,0.02,0.002
mental status,satsa,fev,mmse,Men,299," .12( .09), $p$=.19  ",0.115,0.088,0.192," .00( .00), $p$=.28  ",0.001,0.001,0.285," .02( .02), $p$=.29  ",0.021,0.02,0.287
perceptual speed,lasa,pef,letter,Women,782,"74.21(15.62), $p$<.01 ***",74.207,15.615,0,"-.01( .06), $p$=.91  ",-0.007,0.062,0.914,"12.67(3.60), $p$<.01 ***",12.673,3.603,0
perceptual speed,lasa,pef,letter,Men,800,"79.73(21.48), $p$<.01 ***",79.731,21.479,0," .16( .11), $p$=.13  ",0.161,0.106,0.129,"14.97(3.66), $p$<.01 ***",14.966,3.658,0
perceptual speed,map,fev,num_comp,Women,934," .32( .08), $p$<.01 ***",0.322,0.081,0,"-.00( .00), $p$=.86  ",-0.001,0.005,0.861,"-.01( .02), $p$=.59  ",-0.009,0.016,0.59
